ID_V;ID_P;Zona;UPZ;Calle;Sur;Carrera;Estrato;Zonas_Comunes;Cercania_TM;Valorizacion;Cant_Viv_Proy;Conjunto_Cerrado;Deporte;Acceso_Discapacitados;Fecha_Entrega;Meses_Entrega;Casa_Apartamento;Cuartos;Banos;Parqueaderos;Balcon;Area_Privada;Area_Construida;Precio;Cuota_Inicial;Mens_Cuota_Inicial;Cuota_Credito;Tipo_Apartamento;Nombre_Proyecto;Constructora;Link
17;30002;3;90;64;0;1;4;1;2;2;3;1;1;0;14/09/2018; 0 ; 1 ;2;2;2;1;78.2;85.3;703.96;211.19;2.48; 5.00 ; APARTAMENTO 85 ;SEGAL;CUSEZAR;http://www.metrocuadrado.com/proyecto/segal/1631-C00008-03
18;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;3;1;376.24;403.9;3698;1109.4;2.75; 26.26 ; 602 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
19;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;4;1;372.73;398.92;3748;1124.4;2.82; 26.61 ; 802 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
20;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;4;1;350.38;382.92;3468;1040.4;2.72; 24.62 ; 808 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
21;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;4;1;375.39;406.75;3778;1133.4;2.79; 26.82 ; 801 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
22;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;4;1;457.35;479.72;4288;1286.4;2.68; 30.44 ; 601 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
23;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;4;1;457.35;479.72;4288;1286.4;2.68; 30.44 ; 601 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
24;30003;3;97;97;0;19;6;2;3;1;2;1;6;1;14/09/2018; 0 ; 1 ;3;5;4;1;176.8;176.8;1425;427.5;2.42; 10.12 ; 404 ;OQYANA;METRO URBANA CONSTRUCTORA SAS;http://www.metrocuadrado.com/proyecto/oqyana/1571-C00002-08
25;60001;6;34;36B;1;10;3;1;3;2;2;1;0;0;14/09/2018; 0 ; 1 ;3;2;0;0;45.51;52;130.9;39.27;0.76; 0.93 ; 1 ;MIRADOR SAN CARLOS;GRAMA CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/mirador-de-san-carlos/4475-C00012-01
26;60001;6;34;36B;1;10;3;1;3;2;2;1;0;0;14/09/2018; 0 ; 1 ;3;2;1;0;45;45;139.4;41.82;0.93; 0.99 ; 2 ;MIRADOR SAN CARLOS;GRAMA CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/mirador-de-san-carlos/4475-C00012-01
27;60001;6;34;36B;1;10;3;1;3;2;2;1;0;0;14/09/2018; 0 ; 1 ;3;2;1;0;45;45;153.9;46.17;1.03; 1.09 ; 3 ;MIRADOR SAN CARLOS;GRAMA CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/mirador-de-san-carlos/4475-C00012-01
28;40002;4;110;26;0;70;5;3;3;2;3;1;5;0;1/09/2019; 12 ; 1 ;3;4;2;1;121;130;997;299.1;2.30; 7.08 ; 130m2 ;GRAN RESERVA DE VALDIVIA;CUSEZAR;http://www.metrocuadrado.com/proyecto/gran-reserva-de-valdivia/1631-C00014-02
29;40002;4;110;26;0;70;5;3;3;2;3;1;5;0;1/09/2019; 12 ; 1 ;3;5;2;1;143;158;1163;348.9;2.21; 8.26 ; 158m2 ;GRAN RESERVA DE VALDIVIA;CUSEZAR;http://www.metrocuadrado.com/proyecto/gran-reserva-de-valdivia/1631-C00014-02
30;40002;4;110;26;0;70;5;3;3;2;3;1;5;0;1/09/2019; 12 ; 1 ;3;5;2;1;160;175;1276;382.8;2.19; 9.06 ; 175m2 ;GRAN RESERVA DE VALDIVIA;CUSEZAR;http://www.metrocuadrado.com/proyecto/gran-reserva-de-valdivia/1631-C00014-02
31;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;1;2;1;1;51.43;58.06;468.65;140.59;2.42; 3.33 ; 201 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
32;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;1;2;1;1;51.43;58.06;468.65;140.59;2.42; 3.33 ; 210 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
33;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;1;2;1;1;51.43;58.06;483.78;145.14;2.50; 3.43 ; 301 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
34;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;1;2;1;1;51.43;58.06;483.78;145.14;2.50; 3.43 ; 309 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
35;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;1;2;1;1;51.43;58.06;496.58;148.97;2.57; 3.53 ; 401 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
36;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;3;2;1;103.92;118.07;1101.41;330.42;2.80; 7.82 ; 404 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
37;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;3;2;1;103.92;118.07;1101.41;330.42;2.80; 7.82 ; 406 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
38;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;3;2;1;133.26;133.26;1206.35;361.91;2.72; 8.56 ; 205 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
39;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;3;2;1;133.26;133.26;1206.35;361.91;2.72; 8.56 ; 205 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
40;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;1;2;1;1;103.92;118.07;1127.26;338.18;2.86; 8.00 ; 506 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
41;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;3;2;1;103.92;118.07;1153.10;345.93;2.93; 8.19 ; 606 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
42;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;2;2;1;103.92;118.07;1167.28;350.18;2.97; 8.29 ; 706 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
43;10003;1;16;120;0;20;5;3;3;2;2;1;1;0;1/09/2019; 12 ; 1 ;3;3;2;1;103;103;1096.10;328.83;3.19; 7.78 ; 604 ;VIU PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/viu-park/1821-C00002-08
44;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;52.27;61.56;291.50;87.4494;1.42; 2.07 ; 1 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
45;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;54.8;64.38;303.93;91.1778;1.42; 2.16 ; 3 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
46;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;59.39;68.73;326.73;98.0178;1.43; 2.32 ; 3 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
47;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;57.13;65.78;202.32;60.696;0.92; 1.44 ; 2 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
48;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;60.08;71.18;351.35;105.4038;1.48; 2.49 ; 5 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
49;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;67.75;78.88;352.26;105.6792;1.34; 2.50 ; 6 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
50;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;64.13;75.01;365.27;109.5801;1.46; 2.59 ; 7 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
51;40003;4;46;17;0;72;4;3;2;3;2;1;6;1;1/03/2021; 30 ; 1 ;3;2;1;0;73.41;84.94;401.802;120.5406;1.42; 2.85 ; 8 ;IZOLA - ZENTRAL;CONSTRUCCIONES MARVAL SA;http://www.metrocuadrado.com/proyecto/izola-zentral/249-C0001-08
52;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;2;2;2;0;98;106;683.46;205.0392;1.93; 4.85 ; F ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
53;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;1;2;2;0;71;76;458.177;137.4531;1.81; 3.25 ; G ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
54;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;2;2;2;0;78;85;564.96;169.4892;1.99; 4.01 ; H ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
55;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;1;2;2;0;56.5;61;389;116.7;1.91; 2.76 ; L ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
56;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;3;3;2;0;116.5;128;820.14;246.0411;1.92; 5.82 ; I ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
57;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;3;3;2;0;116;127.5;810.10;243.0285;1.91; 5.75 ; J ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
58;20002;2;20;115;0;72;5;3;3;2;2;1;5;0;1/03/2021; 30 ; 1 ;3;3;2;0;115;124;801.92;240.5757;1.94; 5.69 ; K ;ILARCO 114;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/ilarco-114/1614-C0019-03
59;30004;3;96;11;0;1;5;2;3;1;2;1;0;0;14/09/2018; 0 ; 1 ;2;2;1;0;69.58;76.28;530.00;159;2.08; 3.76 ; 206 ;ANTIGUA;PROMOTORA DE PROYECTOS ANDALUCIA S.A.;http://www.metrocuadrado.com/proyecto/antigua/385-C0003-02
60;30004;3;96;11;0;1;5;2;3;1;2;1;0;0;14/09/2018; 0 ; 1 ;1;1;1;0;57.62;63.51;446.00;133.8;2.11; 3.17 ; 207 ;ANTIGUA;PROMOTORA DE PROYECTOS ANDALUCIA S.A.;http://www.metrocuadrado.com/proyecto/antigua/385-C0003-02
61;30004;3;96;11;0;1;5;2;3;1;2;1;0;0;14/09/2018; 0 ; 1 ;1;1;1;0;39.84;44.02;298.90;89.67;2.04; 2.12 ; 205 ;ANTIGUA;PROMOTORA DE PROYECTOS ANDALUCIA S.A.;http://www.metrocuadrado.com/proyecto/antigua/385-C0003-02
62;10004;1;16;106;0;19A;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;1;2;1;0;50;53.8;415.05;124.515;2.31; 2.95 ; 605 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
63;10004;1;16;106;0;20a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.38;87.58;652.11;195.63375;2.23; 4.63 ; 306 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
64;10004;1;16;106;0;21a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.55;87.62;652.39;195.71625;2.23; 4.63 ; 304 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
65;10004;1;16;106;0;22a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.55;87.62;663.34;199.002;2.27; 4.71 ; 404 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
66;10004;1;16;106;0;23a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.55;87.62;674.29;202.2876;2.31; 4.79 ; 504 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
67;10004;1;16;106;0;24a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.38;87.58;684.96;205.4865;2.35; 4.86 ; 606 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
68;10004;1;16;106;0;25a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.55;87.62;685.25;205.5735;2.35; 4.87 ; 604 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
69;10004;1;16;106;0;26a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;84.85;90.53;740.29;222.087375;2.45; 5.26 ; 301 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
70;10004;1;16;106;0;27a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;86.51;91.78;749.82;224.94675;2.45; 5.32 ; 302 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
71;10004;1;16;106;0;28a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;84.85;90.53;753.87;226.161225;2.50; 5.35 ; 401 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
72;10004;1;16;106;0;29a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;86.51;91.78;763.59;229.07685;2.50; 5.42 ; 402 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
73;10004;1;16;106;0;30a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;84.85;90.53;769.71;230.91405;2.55; 5.46 ; 501 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
74;10004;1;16;106;0;31a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;87.11;93.33;775.64;232.692225;2.49; 5.51 ; 403 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
75;10004;1;16;106;0;32a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;86.51;91.78;779.65;233.8953;2.55; 5.54 ; 502 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
76;10004;1;16;106;0;33a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;84.85;90.53;787.82;236.34585;2.61; 5.59 ; 601 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
77;10004;1;16;106;0;34a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;1;2;1;0;50;53.8;388.15;116.445;2.16; 2.76 ; 205 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
78;10004;1;16;106;0;35a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;81.55;87.62;652.39;195.71625;2.23; 4.63 ; 204 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
79;10004;1;16;106;0;36a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;86.51;91.78;738.35;221.505;2.41; 5.24 ; 202 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
80;10004;1;16;106;0;37a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;87.11;93.33;791.97;237.59205;2.55; 5.62 ; 503 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
81;10004;1;16;106;0;38a;6;3;3;2;2;1;1;0;1/03/2021; 30 ; 1 ;2;3;2;1;87.11;93.33;810.6395;243.19185;0.30; 5.76 ; 603 ;VASILY 106;DISENOS PLANIFICADOS SAS;http://www.metrocuadrado.com/proyecto/vasily-106/5418-C0002-08
82;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;2;3;2;1;87.34;101;831;249.3;2.47; 5.90 ; 1 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
83;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;2;3;2;1;90.17;105;881.35;264.405;2.52; 6.26 ; 2 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
84;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;2;3;2;1;136.5;157.8;1185.05;355.5162;2.25; 8.41 ; 3 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
85;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;143.3;164;1389.82;416.946;2.54; 9.87 ; 4 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
86;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;166.77;191.8;11641.90;3492.5685;18.21; 82.66 ; 5 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
87;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;3;1;193.23;233.5;2038.47;611.5407;2.62; 14.47 ; 6 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
88;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;136.5;157.8;1221.93;366.5778;2.32; 8.68 ; 3 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
